Rk,Player,Tm,2019-20,2020-21,2021-22,2022-23,2023-24,2024-25,Signed Using,Guaranteed
465,Caleb Martin\martica02,CHO,898310,"$1,517,981 ","$1,782,621 ",,,,Minimum Salary,"$898,310 "
466,Shaquille Harrison\harrish01,CHI,898310,,,,,,Minimum Salary,"$898,310 "
467,Javonte Green\greenja02,BOS,898310,"$1,517,981 ",,,,,Minimum Salary,"$898,310 "
468,Damion Lee\leeda03,GSW,842327,"$1,762,796 ","$1,910,860 ",,,,MLE,"$1,442,327 "
469,Khyri Thomas\thomakh01,DET,838464,"$1,663,861 ",,,,,MLE,"$838,464 "
470,DeMarre Carroll\carrode01,HOU,811447,,,,,,Minimum Salary,"$811,447 "
471,Michael Kidd-Gilchrist\kiddgmi01,DAL,810763,,,,,,Minimum Salary,"$810,763 "
472,Marquese Chriss\chrisma01,GSW,758804,,,,,,,"$2,213,272 "
473,Juwan Morgan\morgaju01,UTA,746054,,,,,,Minimum Salary,"$746,054 "
474,Patrick Patterson\pattepa01,OKC,737067,"$737,067 ","$737,066 ",,,,,"$2,211,200 "
475,Reggie Jackson\jacksre01,LAC,734025,,,,,,Minimum Salary,"$734,025 "
476,Alfonzo McKinnie\mckinal01,CLE,708871,,,,,,,"$2,253,031 "
477,Gary Clark\clarkga01,HOU,708426,,,,,,,"$708,426 "
478,Jeff Green\greenje02,HOU,695526,,,,,,Minimum Salary,"$840,427 "
479,Cole Aldrich\aldrico01,MIN,685340,"$685,340 ",,,,,,"$1,370,680 "
480,Shaun Livingston\livinsh01,GSW,666667,"$666,667 ","$666,666 ",,,,,"$2,666,666 "
481,Marquese Chriss\chrisma01,GSW,654468,"$1,824,003 ",,,,,Minimum Salary,"$2,213,272 "
482,Timothé Luwawu-Cabarrot\luwawti01,BRK,654468,"$1,824,003 ",,,,,Minimum Salary,"$844,170 "
483,Rayjon Tucker\tuckera01,UTA,578573,"$1,517,981 ",,,,,Minimum Salary,"$578,574 "
484,Chris Clemons\clemoch01,HOU,568422,"$1,517,981 ","$1,782,621 ",,,,MLE,"$568,422 "
485,Gary Clark\clarkga01,ORL,555409,,,,,,Minimum Salary,"$718,765 "
486,Brandon Goodwin\goodwbr01,ATL,522738,"$1,701,593 ",,,,,Minimum Salary,"$522,738 "
487,Dion Waiters\waitedi01,LAL,503656,,,,,,Minimum Salary,"$503,656 "
488,Ryan Anderson\anderry01,HOU,500000,,,,,,,"$500,000 "
489,Anžejs Pase??iks\pasecan01,WAS,482144,,,,,,Minimum Salary,"$482,144 "
490,Troy Daniels\danietr01,DEN,481000,,,,,,Minimum Salary,"$481,000 "
491,Chris Silva\silvach01,MIA,466918,"$1,517,981 ","$1,782,621 ",,,,MLE,"$1,984,899 "
492,Dakari Johnson\johnsda04,MEM,459414,"$459,414 ",,,,,,"$918,828 "
493,Iman Shumpert\shumpim01,BRK,419443,,,,,,,"$419,443 "
494,Max Strus\strusma01,BOS,415414,,,,,,,"$415,414 "
495,Justin Robinson\robinju01,WAS,395866,,,,,,,"$395,866 "
496,Dean Wade\wadede01,CLE,375000,"$1,517,981 ","$1,782,621 ","$1,930,681 ",,,MLE,"$375,000 "
497,Ivan Rabb\rabbiv01,MEM,371758,,,,,,,"$371,758 "
